DateTime,AddedIPs,RemovedIPs
1548411191,15,39
1548433221,24,32
1548455080,12,38
1548477146,12,5
1548499247,7,3
1548521539,2,2
1548543390,2,3
1548565272,2,2
1548587542,10,3
1548609423,5,2
1548631455,5,3
1548653682,10,1
1548675641,22,0
1548697717,33,3
1548719569,5,3
1548741720,2,2
1548763961,4,2
1548786037,8,1
1548807892,2,7
1548829944,14,8
1548851784,10,7
1548873882,6,0
1548895936,7,4
1548929119,123,10
1548950966,2,2
1548972983,2,6
1548994871,2,11
1549016934,1,18
1549038968,7,9
1549061095,5,9
1549083136,17,3
1549105335,10,8
1549127328,6,5
1549149189,10,1
1549171225,15,7
1549193087,7,7
1549215220,6,8
1549237496,12,6
1549259804,36,8
1549281892,38,18
1549303940,1,21
1549326041,2,3
1549348098,3,4
1549369954,2,2
1549392010,0,9
1549413891,2,5
1549435939,9,10
1549458093,0,12
1549480117,5,5
1549502184,2,6
1549524025,2,76
1549546090,3,52
1549567962,2,2
1549590026,3,6
1549611874,15,6
1549633951,12,5
1549655795,9,8
1549677680,11,12
1549699720,10,12
1549721772,7,10
1549743623,10,5
1549765475,19,12
1549787320,5,8
1549809160,7,13
1549831237,17,6
1549853086,8,15
1549875157,3,84
1549908268,12,3
1549930123,6,1
1549952172,4,1
1549974055,4,4
1549996095,18,1
1550017961,61,1
1550040031,24,13
1550062099,39,1
1550083945,23,3
1550105790,18,5
1550127669,19,3
1550149713,14,4
1550171559,10,4
1550193404,17,1
1550215457,5,13
1550237326,3,9
1550259167,7,8
1550281481,6327,11
1550303574,1,8
1550325649,2,5
1550347491,2,9
1550369535,4,20
1550391392,3,5
1550413251,0,8
1550435317,7,16
1550457170,3,7
1550479216,7,3
1550501089,1,7
1550523143,10,7
1550556285,17,6
1550578370,2,6
1550600411,2,12
1550622268,5,46
1550644378,0,21
1550666418,1,39
1550688265,0,22
1550710132,2,5
1550732194,1,38
1550754069,1,9
1550776115,4,35
1550797956,1,17
1550820047,7,12
1550842359,2,5
1550864437,4,5
1550886523,4,36
1550908614,0,1
1550930493,7,4
1550952512,7,1
1550974581,84,3
1550996443,6,3
1551018521,8,2
1551040370,158,6
1551062435,4,4
1551084289,2,8
1551106386,4,3
1551128466,3,6
1551150342,4,13
1551172620,5,4
1551194683,4,6
1551216764,1,5
1551238813,2,4
1551260657,23,1
1551282791,3,0
1551304866,3,1
1551326907,4,3
1551348996,56,0
1551370850,24,1
1551393496,1,1
1551415489,6,4
1551437550,9,6
1551459435,0,3
1551481330,1,4
1551503305,8,1
1551525424,2,5
1551558759,8,6
1551580826,8,81
1551602920,5,4
1551625003,2,7
1551647077,2,142
1551669164,0,4
1551691239,1,2
1551713304,1,6
1551735167,2,3
1551757219,11,6
1551779073,3,3
1551801160,1,7
1551823373,4,2
1551845319,2,2
1551867391,6,17
1551889468,19,5
1551912995,16,4
1551935102,57,6302
1551957137,40,81
1551979239,9,5
1552001317,20,1
1552023378,14,5
1552045231,14,8
1552067303,21,2
1552089163,18,2
1552111339,21,5
1552133302,16,4
1552155147,3,4
1552177231,20,3
1552199324,21,10
1552221386,6,8
1552243243,7,3
1552265320,8,0
1552287403,4,1
1552309296,6,1
1552331308,11,2
1552353391,14,11
1552375472,21,2
1552397316,17,3
1552419159,13,1
1552441230,8,4
1552463305,7,3
1552485399,3,14
1552507351,2,11
1552529325,7,22
1552551397,6,43
1552573244,14,9
1552595294,14,10
1552617159,13,19
1552639218,15,5
1552661059,8,13
1552683134,26,14
1552704980,17,11
1552726989,14,18
1552748940,5,3
1552770975,24,12
1552792827,21,15
1552814924,13,20
1552836982,3,7
1552859071,13,8
1552881132,11,5
1552903000,5,7
1552924910,17,13
1552946933,17,16
1552968989,19,24
1552990831,15,23
1553012686,6,5
1553034757,1,10
1553056814,4,5
1553078901,6,7
1553101004,10,4
1553122858,7,3
1553144940,5,4
1553166977,11,2
1553189059,5,16
1553210915,7,12
1553232972,2,8
1553255084,5,5
1553277141,8,8
1553299007,1,18
1553321065,10,20
1553342923,5,8
1553365000,3,5
1553387058,1,34
1553409167,8,16
1553431252,3,16
1553453306,1,12
1553475162,7,29
1553508201,6,14
1553530154,2,23
1553552187,4,26
1553574037,2,38
1553595889,1,47
1553617963,11,2
1553640066,12,10
1553662104,13,1
1553684209,13,6
