DateTime,AddedIPs,RemovedIPs
1549139322,33,72
1549142916,42,0
1549147240,33,68
1549164737,182,265
1549168121,43,0
1549172443,57,54
1549176763,41,98
1549180113,29,0
1549183961,45,58
1549188757,64,215
1549191877,35,0
1549196183,42,0
1549200763,53,34
1549204590,49,60
1549211557,74,168
1549225236,143,153
1549228130,37,0
1549231235,38,0
1549235077,55,0
1549238175,28,0
1549241546,34,152
1549254969,148,143
1549259799,53,0
1549263641,57,0
1549266247,28,0
1549270359,50,388
1549277552,85,0
1549295769,197,0
1549298208,34,0
1549301569,36,0
1549305130,31,9
1549309018,40,104
1549323160,170,353
1549325077,21,0
1549330106,64,0
1549333960,43,0
1549338755,51,0
1549342358,37,0
1549356494,137,139
1549360339,35,143
1549363717,35,0
1549386019,220,182
1549386989,10,0
1549403560,187,95
1549405951,18,0
1549410270,39,104
1549452263,403,596
1549457551,59,0
1549461168,52,20
1549463558,29,46
1549467138,41,0
1549471227,46,52
1549475325,41,31
1549478458,19,34
1549481549,22,54
1549539373,500,580
1549542735,35,0
1549557410,167,535
1549559537,26,0
1549566508,68,0
1549574174,78,0
1549580680,80,0
1549585233,52,0
1549588816,55,0
1549610413,282,163
1549611402,16,80
1549617389,82,59
1549622903,71,61
1549639971,174,174
1549641144,11,0
1549646438,47,0
1549651473,39,42
1549693217,415,410
1549785377,500,1055
1549788027,38,0
1549794507,89,99
1549799322,63,42
1549810092,110,176
1549889315,500,953
1549893641,40,0
1549901061,57,34
1549905131,35,36
1549908974,42,31
1549914756,59,210
1549917868,30,0
1549920295,15,0
1549923870,30,0
1549973563,500,643
1549977375,51,0
1549981712,59,0
1549985560,54,0
1549990357,73,0
1550058965,500,716
1550066921,134,81
1550070739,53,41
1550162897,500,856
1550254332,500,1055
1550345539,500,915
1550356098,190,0
1550359955,73,0
1550376732,303,0
1550377708,18,0
1550383968,129,0
1550417286,453,800
1550421132,66,0
1550479578,500,0
1550488120,163,0
1550489072,25,0
1550507154,270,132
1550512592,115,42
1550515937,51,59
1550519788,53,30
1550569217,500,545
1550574040,74,0
1550574978,18,0
1550575962,17,0
1550577890,21,0
1550580260,39,51
1550581223,17,0
1550592016,170,186
1550593007,19,0
1550594419,19,0
1550595371,14,500
1550597790,46,0
1550601159,55,0
1550609078,119,0
1550610521,22,0
1550613401,39,0
1550616998,56,0
1550618679,22,0
1550623471,113,0
1550626118,78,0
1550627048,41,0
1550631636,101,0
1550634744,61,0
1550640517,106,0
1550642916,58,0
1550684423,483,687
1550733608,500,0
1550750169,273,0
1550761008,214,0
1550830097,500,500
1550857217,437,0
1550884837,348,500
1550976498,500,566
1551035330,500,1166
1551127216,500,1177
1551219112,500,745
1551222535,56,22
1551249139,500,1041
1551263082,261,0
1551354778,500,773
1551382336,313,714
1551383292,19,0
1551387154,37,0
1551402016,332,0
1551407332,147,0
1551411168,83,0
1551480280,500,785
1551481217,17,0
1551488185,137,0
1551493237,117,500
1551497565,86,0
1551501165,68,0
1551504988,49,0
1551513620,141,0
1551518095,58,0
1551527785,166,0
1551531387,41,0
1551567370,377,0
1551568366,17,0
1551570730,33,0
1551575087,98,0
1551576501,27,0
1551578931,45,0
1551585386,82,500
1551588247,34,0
1551592335,58,0
1551661941,500,500
1551730344,500,0
1551810030,500,500
1551868832,500,1317
1551896169,317,0
1551988815,500,369
1552078953,500,1062
1552128492,500,839
1552187533,500,720
1552279472,500,1092
1552284534,71,0
1552318360,493,0
1552344966,323,500
1552425371,500,500
1552427073,21,0
1552434513,78,0
1552440019,75,0
1552480808,500,317
1552497637,291,0
1552500523,47,0
1552504844,64,500
1552510605,104,0
1552530256,370,0
1552532920,51,0
1552536734,64,0
1552540353,52,0
1552545634,151,0
1552548509,40,0
1552552106,104,0
1552555473,67,0
1552559794,59,0
1552563163,44,0
1552567230,48,0
1552588569,281,0
1552589552,12,0
1552592437,33,0
1552599158,103,500
1552602651,45,0
1552606362,70,0
1552628168,463,0
1552638759,200,0
1552641643,70,0
1552645246,87,0
1552648130,47,0
1552651477,35,0
1552655322,74,0
1552659377,53,0
1552663484,55,0
1552666817,46,0
1552684126,257,500
1552690503,98,0
1552696831,111,0
1552700436,58,0
1552711453,161,0
1552733300,339,500
1552734254,10,0
1552737637,46,0
1552742203,71,0
1552745797,62,0
1552748936,44,0
1552751813,37,0
1552756123,68,0
1552760441,63,0
1552801696,500,500
1552805069,63,0
1552822090,310,0
1552826427,70,0
1552830995,71,0
1552835309,56,0
1552842512,113,0
1552845388,44,0
1552867231,288,0
1552873227,92,0
1552876830,53,0
1552894578,323,564
1552901561,106,0
1552909691,115,0
1552944495,488,323
1552978088,500,500
1552979083,28,0
1552981450,51,0
1552984350,113,0
1552987228,108,0
1552997782,287,0
1553006896,144,0
1553010268,69,0
1553014109,64,0
1553041696,438,174
1553048908,138,500
1553082251,500,0
1553083730,23,0
1553089230,85,291
1553094990,76,0
1553103392,123,47
1553194363,500,1544
1553200106,122,103
1553213335,234,578
1553217171,90,0
1553220044,49,0
1553222669,54,0
1553225559,53,0
1553236110,184,200
1553239205,61,0
1553247375,325,157
1553257938,179,156
1553261053,43,53
1553264413,36,55
1553271891,97,303
1553275226,53,0
1553288435,237,0
1553310506,341,428
1553316768,128,339
1553358620,500,338
1553367367,136,563
1553370271,36,0
1553374594,87,0
1553377210,38,0
1553381078,76,0
1553383959,51,0
1553388985,126,0
1553410833,364,373
1553413712,43,0
1553415638,29,0
1553418522,47,0
1553421149,39,0
1553424030,53,0
1553425974,29,0
1553427872,24,70
1553429530,27,0
1553431954,27,71
1553437716,152,56
1553440602,32,113
1553445738,80,0
1553449954,49,44
1553458122,106,288
1553462198,48,0
1553464861,29,0
1553507550,500,689
1553549302,486,988
1553554834,57,0
1553581711,366,0
1553586038,49,79
1553590843,176,221
1553595161,151,287
1553605728,229,144
1553610525,55,0
1553615317,75,133
1553619400,61,438
1553622999,38,0
1553627534,68,0
1553629961,96,0
1553632360,42,0
1553635236,40,0
1553684912,500,638
